OOM 사망 / 강제정지로 폐기한 CTC 100hr AWS 로그 (2026-09-24 21:0x KST)
이 로그들이 남긴 eval 값은 '중간 step 값'이며 결과가 아니다. 인용 금지.

런                      죽은step   로그가 남긴 가짜 eval
a0.01_s1                 5998/15000   'eval_dev-clean_wer': '0.06971' 'eval_dev-other_wer': '0.174' 
a0.02_s1                 5911/15000   'eval_dev-clean_wer': '0.06932' 'eval_dev-other_wer': '0.177' 
a0.03_s1                 464/15000    없음
a0.005_s2                5/15000      없음
a0.01_s2                 160/15000    없음
a0.02_s2                 209/15000    없음
a0.03_s2                 658/15000    없음
a0.04_s2                 1000/15000   없음
a0.05_s2                 561/15000    없음
a0.005_s4                11/15000     없음
a0.01_s4                 13/15000     없음
